,,,5,7,9,11,13,15,17,19,21,23,,,,,0.002452059,,,,,,FOV (Radians):,0.7,1,1.3,1.6,1.9,2.2,2.5,,,,,,,,7,6,5,4,3
,Average:,,227.3513333,227.3513333,220.7913333,205.1746667,184.4876923,190.7514286,190.7106667,207.1266667,219.494,201.5857143,,,,,,,,,,,Average (s):,242.9027273,228.878,197.3833333,162.8033333,179.1392857,234.153,#DIV/0!,,,,,,,Average (s):,81.19,81.14866667,81.01466667,81.00666667,80.97266667
,,0.206778287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,275.825,190.5,207.1,169.6,160.93,194.32,171.71,162.91,168.74,196.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5,,7,,9,,11,,13,,15,,17,,19,,21,,23,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,324.22,306.14,188.77,170.59,188.35,170.37,187.87,169.98,189.02,170.75,189.12,170.94,188.83,170.62,188.93,170.69,271.42,253.38,204.9,186.88,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,298.3,280.35,55.68,37.47,56.13,37.98,126.34,108.42,146.14,128.03,129.18,111.36,56.96,38.82,123.36,105.34,141.18,123.1,239.49,221.6,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,96.83,78.34,96.03,77.98,257.12,239.04,169.44,151.3,97.89,79.78,105.66,87.71,97.79,79.87,104.54,86.59,195.84,177.63,105.92,87.9,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,117.28,99.14,170.05,152.1,62.5,44.38,61.98,43.84,62.4,44.29,62.4,44.19,63.01,44.99,99.58,81.25,124.19,106.14,66.75,48.77,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
